read_ns,eval_ns
46755033,2190561
43788804,2166247
43408803,2260050
44125163,1949353
43747825,2189960
43944422,2336243
43014324,2385229
38633343,2213823
44038910,2271291
42457042,2191069
43956202,2116273
43992693,2342209
42527978,2195871
42637650,2200279
42803054,2173715
43022436,2195882
43196245,2127236
43906388,2353947
42678323,2143298
42856932,2336889
42605595,2128669
43355765,2198520
45570669,2335653
42841277,2121989
42832408,2292218
36846015,2333768
45310034,2233091
44502760,2201631
43893780,2178617
42463463,2178110
42575762,2254941
42594882,2159030
42858051,2209063
43776334,2255489
43934454,2195865
43821173,2295332
42982634,2241287
43343456,2207407
42704563,2247289
43515695,2201166
43167676,2302085
42965911,2102726
42953520,2269749
43559571,2306359
43686213,2148299
45137154,2281194
36665136,2173391
44098845,2130309
43497615,2177651
46006757,2202450
42842380,2121118
42766881,2222244
43431312,2129830
43921819,2315922
43057070,2267822
42715443,2239249
43848841,2107775
42622609,2192290
43664151,2163905
43290326,2113170
44028847,2180293
42407142,2283420
44818929,2180869
42521765,2126984
44238595,2341337
43325974,2104684
43226654,2300226
43922606,2235985
44605606,2265865
44601807,2197827
41969530,2139328
42767108,2234068
43379658,2253902
42343646,2100526
44901937,2193212
42024899,2126614
44131116,2140525
43155725,2120981
43519846,2288729
42716049,2106303
43044042,2197838
41836633,2236028
43103480,2206943
36618934,2189601
43559772,2201837
46163735,2266228
43289907,2268892
42500032,2349272
43381135,2135178
44337024,2121708
43617064,2259863
37440519,2215982
43418007,1996877
43058676,2284095
42941487,2133060
43733553,2134522
44096231,2105095
43236227,2170164
42746920,2185798
44318755,2145583
38286211,2195731
42121459,2101173
37468193,2203698
43812027,2101245
44130652,2119489
43524918,2242878
42898057,2132709
43164920,2155915
44649932,2121975
43543456,2230280
42467628,2134783
43694818,2315764
42483784,2064359
42629625,2118349
43111474,2175431
42397873,2115076
42982660,2218402
42339139,2202859
42607773,2264495
44904944,2304366
43110392,2194399
45270277,2319356
42108937,2248386
44451543,2292950
42265699,2129940
42391363,2252071
43741949,2354027
42964043,2157444
43343782,2245699
43346304,2226392
43859388,2135903
43369080,2258680
43208196,2215078
42546778,2227015
43344577,2272927
43002279,2127663
44522313,2280419
43151742,2166830
44032195,2335267
43058218,2120489
42649649,2117670
43658568,2083553
43252998,2205004
43417263,2273830
43072949,2228944
42649027,2163315
43422747,2117897
44624249,2169916
42594321,2114488
42967178,2095302
44056081,2108821
43001571,2159967
44705336,2171789
42857091,2083019
43547401,2168674
43138956,2243079
42960463,2238600
44128235,2293257
43383351,2092961
42828720,2102158
43750687,2239118
42568684,2209739
42309975,2094543
43245647,2265293
44703682,2270705
43597071,2036071
44739736,2144183
44732985,2157595
43191333,2145023
42774639,2113640
43007674,2347124
42483415,2295883
43113399,2238010
43520584,2240376
45984583,2093751
36175987,2229178
43055425,2206495
43178524,2149291
42942076,2092200
44032141,2108213
42957707,2120637
44649683,2338419
42889845,2301266
43881198,2083797
41688212,2177200
42319894,2182232
42962899,2279166
44948961,2302790
42572703,2181668
42958409,2229127
43019196,2204151
43180021,2092315
42970196,2098092
42968249,2220587
43000844,2297303
44103309,2327205
42320128,2221864
43106942,2295118
44355878,2104654
43210021,2247934
42712815,2154380
43748791,2243134
43214578,2359958
42486277,2194822
43673635,2218166
42791010,2166623
43913318,2233439
42800237,2173558
43248203,2213860
43440304,2169703
43181636,2159398
44434121,2129937
42368891,2187715
44876812,2182879
42424496,2100535
44917656,2248601
43297368,2283735
43011249,2180267
43000859,2207625
42565960,2215112
42873558,2176186
43870737,2222395
42480543,2185615
44888654,2295235
44269800,2227679
42428287,2302045
43320016,2212365
44578821,2102094
43191050,2093345
43154912,2279200
43445451,2162003
42751245,2187050
43231841,2355548
43322930,2213883
43885568,2285688
43576535,2339966
42919141,2296812
36185909,2179194
44348389,2225640
44080879,2280539
43152906,2184555
43813967,2168170
42784906,2232964
43683618,2225694
44053094,2160115
43887006,2228609
42979532,2204252
36998940,2254147
44323766,2182370
43530549,2248750
43823860,2165893
43014920,2196001
44139879,2201866
42783651,2131424
43537330,2100173
44053208,2150704
43459146,2294901
43556458,2302099
43457391,2254891
43256124,2094090
44250615,2149221
44978146,2213774
43145045,2266729
42824234,2222790
42107261,2067437
45204306,2296569
43771261,2282948
43480146,2113795
43485203,2160566
43344965,2264417
43897677,2272687
43435972,2115434
43389434,2284907
43066644,2194952
43733160,2195687
44896721,2208476
45586153,2250222
43951515,2230718
43001707,2127523
44280160,2274275
45512477,2157548
42049589,2108207
43157722,2086172
43567638,2376458
42606568,2250470
42863137,2292699
43000562,2169707
42010542,2116877
