read_ns,eval_ns
43392823,2058069
45436231,1340822
74254756,2926123
74412605,3607282
43175960,2225954
43682467,2289976
71482463,3005154
72007679,3297883
73073522,3132210
73559148,3455671
72917186,3175151
73267920,3100904
73966143,3252482
73931789,3703757
73047442,3294898
73325767,3158342
72077650,2791544
73807737,3386086
43210568,2319443
43424923,2325809
46078819,2277270
42777065,2298306
42541189,2145566
43941012,2160276
73196241,3055426
74833086,3229343
45771839,2101511
45065845,2282949
72643497,2926997
73420595,3543042
71329778,3323729
72060243,3044368
42421280,2254627
41326728,2253901
44954957,2160499
43381216,2296856
42371282,2272739
44368398,2271230
43631377,2184907
43096735,2132844
39810241,2135659
43019717,2157515
72853253,3263740
73895041,3652054
44633502,2206022
43943651,2232350
43316089,2156834
44150063,2184500
73367980,2945134
74338740,2919966
45037913,2206019
43064735,2260397
43636405,2383953
44082980,2134196
43708740,2131269
43282448,2166623
42258670,2157204
43970797,2181333
43713730,2368482
43779908,2183778
74726264,3118622
74996424,3508983
43576413,2201436
43683960,2238897
39954216,2212038
42648781,2227762
74426299,3058996
75215076,3498991
43430776,2205687
44722369,2158377
74655887,3118062
74711801,3080288
73809902,3196068
73353920,2966218
43282594,2154840
44307874,2203403
74034917,3311846
74601935,3289798
42941821,2133649
43782173,2304290
43286913,2203659
43331741,2163075
39992811,2161103
42653769,2209705
74735099,3044660
73094730,3243574
44260554,2156816
44370034,2171996
73325327,2774680
74404299,2891210
44080103,2246003
43916248,2278014
42495645,2236540
46063215,2275892
74740508,3072214
75457498,3104774
44567312,2145051
44045515,2276232
43368309,2144436
43885126,2184062
42787573,2112257
43557001,2221665
43674797,2119178
43906592,2185451
74268447,3325504
74872875,3307223
44310733,2096783
43572855,2186322
44110476,2151106
44757743,2237178
43151345,2214464
44028702,2167664
74319279,3381025
74829020,3368312
42927456,2104788
44351288,2284689
71509648,3235868
72082474,3011059
43802216,2210248
43654530,2160430
74945950,3333155
75090525,3433855
40676910,2190838
44962566,2143355
69918344,2607233
70576540,2621133
70147054,2605916
70296565,2602394
70854246,2709987
70609357,2593944
71150502,2628472
71355652,2692379
69817075,2686253
69903574,2534515
70714134,2612886
71829111,3028911
69557888,2638879
70653707,2587051
43793086,2146730
43331064,2302708
71585408,2560205
70721383,2481906
70012786,2853050
