read_ns,eval_ns
105624995,11787516
107784324,17899183
107418985,17724592
154773789,11065822
154903325,12196535
154683077,11250118
156957331,17426162
155197233,17559152
71298396,13273064
74803795,12399754
94637991,11834940
73888434,13080300
100125443,12774969
67520813,12258240
102767665,11317043
67989380,11927499
60596132,12014844
126962110,12987637
135803196,12017426
137271351,13388650
128863202,13134612
128658762,10958060
117219822,11572893
134321538,12153651
52744409,11133788
135180609,12111895
137075542,11059316
130031640,11583905
62273894,12597663
70888886,12299149
137242421,13768476
139828313,10963514
61824546,11572372
149318239,12641972
151098544,9363357
71890943,11938579
152157357,11389142
135222516,9440807
87593478,11063716
137565498,12223634
146601595,12257829
77630109,13932082
153325393,12387044
91099075,9950808
152678427,11561956
92577094,13124024
143662399,11592525
74373720,12362968
126337108,8885818
94681036,11591828
102271843,12125459
95317466,12525568
108790071,10978142
110087089,12808750
108974775,12096985
125740912,10936810
124589271,11370656
105110791,9564993
122268527,11452248
108300307,12662460
100250528,13112340
101933012,12151560
76406880,12203146
93867779,11884576
48358620,11549364
94977927,10841912
106017881,12194609
97038792,12947725
131554081,12204636
115592474,13383000
131844806,12691291
116733833,12691730
131001576,12283291
95999696,12747706
133621271,12686026
49146094,12474668
115131955,12874348
62656696,12705561
98845479,12205978
105273300,11133253
101419850,12154607
104075741,12288202
93268951,11317546
113492905,10900916
66578738,11695388
123274789,11553879
125149787,12547644
73165812,11972471
129160586,12809211
97144821,14392413
131091326,13813181
96364610,11846530
128109707,12211265
88307519,12432374
125125190,11339237
114515553,11565984
89435282,12693863
94248077,12758825
67703489,10621624
120754018,12855857
143249113,13693635
100701291,11127071
144139817,11178266
105290819,10072960
144779014,12465138
100314192,11704712
139082621,10527893
81671316,12738747
120458907,10309139
95248210,10398672
49724625,11712095
128586307,12293743
137958565,12867864
74935508,12009360
152837584,11878490
94582431,11971174
156828367,10295172
96360288,10770011
151852544,11023521
148247459,9870945
93342842,11945425
90308299,11978532
88044399,11607694
86581871,10310823
87833609,12568801
80827543,12639615
122432447,12235311
79696536,11587850
134861641,12495745
66888450,14678608
140850760,10325189
49455064,10816437
