name,instance,hotcache,selectivity,duration_ns,num_rows,filtered_rows,num_objs,objects_read
cls-staged,2,true,75.0,391266981757,15000000000,11250000000,15000,15000
cls-index,2,true,75.0,366503983015,15000000000,11250000000,15000,11250
pg-all,2,true,75.0,440021253405,15000000000,11250000000,15000,15000
pg-index,2,true,75.0,403878716105,15000000000,11250000000,15000,11250
client-vanilla,1,true,100.0,295271292029,15000000000,15000000000,15000,15000
client-cls,1,true,100.0,299295139261,15000000000,15000000000,15000,15000
cls-basic,1,true,100.0,996552473063,15000000000,15000000000,15000,15000
cls-basic-prealloc,1,true,100.0,904032792327,15000000000,15000000000,15000,15000
cls-staged,1,true,100.0,483612516469,15000000000,15000000000,15000,15000
cls-index,1,true,100.0,430686373782,15000000000,15000000000,15000,15000
pg-all,1,true,100.0,532566820834,15000000000,15000000000,15000,15000
pg-index,1,true,100.0,526076344472,15000000000,15000000000,15000,15000
client-vanilla,2,true,100.0,286915214127,15000000000,15000000000,15000,15000
client-cls,2,true,100.0,313373790848,15000000000,15000000000,15000,15000
cls-basic,2,true,100.0,957381143132,15000000000,15000000000,15000,15000
cls-basic-prealloc,2,true,100.0,897366535747,15000000000,15000000000,15000,15000
cls-staged,2,true,100.0,460716036416,15000000000,15000000000,15000,15000
cls-index,2,true,100.0,471142096910,15000000000,15000000000,15000,15000
pg-all,2,true,100.0,554653245039,15000000000,15000000000,15000,15000
pg-index,2,true,100.0,558712555225,15000000000,15000000000,15000,15000
client-vanilla,1,false,0.0,610189397525,15000000000,0,15000,15000
client-cls,1,false,0.0,615762019347,15000000000,0,15000,15000
cls-basic,1,false,0.0,409971564413,15000000000,0,15000,15000
cls-basic-prealloc,1,false,0.0,411026097166,15000000000,0,15000,15000
cls-staged,1,false,0.0,406296841155,15000000000,0,15000,15000
cls-index,1,false,0.0,6411485270,15000000000,0,15000,0
pg-all,1,false,0.0,442226594328,15000000000,0,15000,15000
pg-index,1,false,0.0,979603924,15000000000,0,15000,0
client-vanilla,2,false,0.0,612557498550,15000000000,0,15000,15000
client-cls,2,false,0.0,610763441531,15000000000,0,15000,15000
cls-basic,2,false,0.0,411727189912,15000000000,0,15000,15000
cls-basic-prealloc,2,false,0.0,405210538494,15000000000,0,15000,15000
cls-staged,2,false,0.0,406020611850,15000000000,0,15000,15000
cls-index,2,false,0.0,7160699252,15000000000,0,15000,0
pg-all,2,false,0.0,442749920019,15000000000,0,15000,15000
pg-index,2,false,0.0,904509960,15000000000,0,15000,0
client-vanilla,1,false,0.1,608090450599,15000000000,15000000,15000,15000
client-cls,1,false,0.1,611730514122,15000000000,15000000,15000,15000
cls-basic,1,false,0.1,411036021155,15000000000,15000000,15000,15000
cls-basic-prealloc,1,false,0.1,413439521771,15000000000,15000000,15000,15000
cls-staged,1,false,0.1,401412956263,15000000000,15000000,15000,15000
cls-index,1,false,0.1,7272057331,15000000000,15000000,15000,15
pg-all,1,false,0.1,441134539982,15000000000,15000000,15000,15000
pg-index,1,false,0.1,1794654316,15000000000,15000000,15000,15
client-vanilla,2,false,0.1,612113000237,15000000000,15000000,15000,15000
client-cls,2,false,0.1,642751012777,15000000000,15000000,15000,15000
cls-basic,2,false,0.1,409826510791,15000000000,15000000,15000,15000
cls-basic-prealloc,2,false,0.1,409895370920,15000000000,15000000,15000,15000
cls-staged,2,false,0.1,405278599543,15000000000,15000000,15000,15000
cls-index,2,false,0.1,7874241948,15000000000,15000000,15000,15
pg-all,2,false,0.1,442142655308,15000000000,15000000,15000,15000
pg-index,2,false,0.1,1777723149,15000000000,15000000,15000,15
client-vanilla,1,false,1.0,612248191946,15000000000,150000000,15000,15000
client-cls,1,false,1.0,636312448610,15000000000,150000000,15000,15000
cls-basic,1,false,1.0,427465946264,15000000000,150000000,15000,15000
cls-basic-prealloc,1,false,1.0,419899850089,15000000000,150000000,15000,15000
cls-staged,1,false,1.0,407379086245,15000000000,150000000,15000,15000
cls-index,1,false,1.0,13671807587,15000000000,150000000,15000,151
pg-all,1,false,1.0,443724157051,15000000000,150000000,15000,15000
pg-index,1,false,1.0,8446351016,15000000000,150000000,15000,151
client-vanilla,2,false,1.0,612384824900,15000000000,150000000,15000,15000
client-cls,2,false,1.0,612493889235,15000000000,150000000,15000,15000
cls-basic,2,false,1.0,420532965444,15000000000,150000000,15000,15000
cls-basic-prealloc,2,false,1.0,420334846625,15000000000,150000000,15000,15000
cls-staged,2,false,1.0,410934076772,15000000000,150000000,15000,15000
cls-index,2,false,1.0,13266292829,15000000000,150000000,15000,151
pg-all,2,false,1.0,448074041044,15000000000,150000000,15000,15000
pg-index,2,false,1.0,8587382648,15000000000,150000000,15000,151
client-vanilla,1,false,5.0,607885577192,15000000000,750000000,15000,15000
client-cls,1,false,5.0,611179915491,15000000000,750000000,15000,15000
cls-basic,1,false,5.0,452170101301,15000000000,750000000,15000,15000
cls-basic-prealloc,1,false,5.0,445366316675,15000000000,750000000,15000,15000
cls-staged,1,false,5.0,417149348198,15000000000,750000000,15000,15000
cls-index,1,false,5.0,42991618821,15000000000,750000000,15000,750
pg-all,1,false,5.0,460485377138,15000000000,750000000,15000,15000
pg-index,1,false,5.0,41167193646,15000000000,750000000,15000,750
client-vanilla,2,false,5.0,645134997841,15000000000,750000000,15000,15000
client-cls,2,false,5.0,612435919006,15000000000,750000000,15000,15000
cls-basic,2,false,5.0,452625651379,15000000000,750000000,15000,15000
cls-basic-prealloc,2,false,5.0,445711808794,15000000000,750000000,15000,15000
cls-staged,2,false,5.0,419071035342,15000000000,750000000,15000,15000
cls-index,2,false,5.0,42133338420,15000000000,750000000,15000,750
pg-all,2,false,5.0,458399948236,15000000000,750000000,15000,15000
pg-index,2,false,5.0,40947542656,15000000000,750000000,15000,750
client-vanilla,1,false,10.0,611969642281,15000000000,1500000000,15000,15000
client-cls,1,false,10.0,611244748740,15000000000,1500000000,15000,15000
cls-basic,1,false,10.0,496387332382,15000000000,1500000000,15000,15000
cls-basic-prealloc,1,false,10.0,487831818431,15000000000,1500000000,15000,15000
cls-staged,1,false,10.0,437804198960,15000000000,1500000000,15000,15000
cls-index,1,false,10.0,78413850282,15000000000,1500000000,15000,1500
pg-all,1,false,10.0,486310083537,15000000000,1500000000,15000,15000
pg-index,1,false,10.0,81149959480,15000000000,1500000000,15000,1500
client-vanilla,2,false,10.0,611230446680,15000000000,1500000000,15000,15000
client-cls,2,false,10.0,626854255174,15000000000,1500000000,15000,15000
cls-basic,2,false,10.0,493363315206,15000000000,1500000000,15000,15000
cls-basic-prealloc,2,false,10.0,489143560422,15000000000,1500000000,15000,15000
cls-staged,2,false,10.0,439070524963,15000000000,1500000000,15000,15000
cls-index,2,false,10.0,79465874370,15000000000,1500000000,15000,1500
pg-all,2,false,10.0,478760230312,15000000000,1500000000,15000,15000
pg-index,2,false,10.0,82006292275,15000000000,1500000000,15000,1500
client-vanilla,1,false,25.0,643769572372,15000000000,3750000000,15000,15000
client-cls,1,false,25.0,610859642359,15000000000,3750000000,15000,15000
cls-basic,1,false,25.0,614502873031,15000000000,3750000000,15000,15000
cls-basic-prealloc,1,false,25.0,601001975903,15000000000,3750000000,15000,15000
cls-staged,1,false,25.0,487125611567,15000000000,3750000000,15000,15000
cls-index,1,false,25.0,187934505442,15000000000,3750000000,15000,3750
pg-all,1,false,25.0,537729796575,15000000000,3750000000,15000,15000
pg-index,1,false,25.0,206646519085,15000000000,3750000000,15000,3750
client-vanilla,2,false,25.0,614093567302,15000000000,3750000000,15000,15000
client-cls,2,false,25.0,615512330828,15000000000,3750000000,15000,15000
cls-basic,2,false,25.0,609788409153,15000000000,3750000000,15000,15000
cls-basic-prealloc,2,false,25.0,597393105542,15000000000,3750000000,15000,15000
cls-staged,2,false,25.0,492678187775,15000000000,3750000000,15000,15000
cls-index,2,false,25.0,190573255965,15000000000,3750000000,15000,3750
pg-all,2,false,25.0,532022541741,15000000000,3750000000,15000,15000
pg-index,2,false,25.0,204219389731,15000000000,3750000000,15000,3750
client-vanilla,1,false,50.0,612091283475,15000000000,7500000000,15000,15000
client-cls,1,false,50.0,609923709811,15000000000,7500000000,15000,15000
cls-basic,1,false,50.0,815493381937,15000000000,7500000000,15000,15000
cls-basic-prealloc,1,false,50.0,809927385036,15000000000,7500000000,15000,15000
cls-staged,1,false,50.0,572194474352,15000000000,7500000000,15000,15000
cls-index,1,false,50.0,375137625105,15000000000,7500000000,15000,7500
pg-all,1,false,50.0,635645028220,15000000000,7500000000,15000,15000
pg-index,1,false,50.0,412025599071,15000000000,7500000000,15000,7500
client-vanilla,2,false,50.0,611896812388,15000000000,7500000000,15000,15000
client-cls,2,false,50.0,609757814339,15000000000,7500000000,15000,15000
cls-basic,2,false,50.0,817123616132,15000000000,7500000000,15000,15000
cls-basic-prealloc,2,false,50.0,789340573379,15000000000,7500000000,15000,15000
cls-staged,2,false,50.0,563646488561,15000000000,7500000000,15000,15000
cls-index,2,false,50.0,365733637441,15000000000,7500000000,15000,7500
pg-all,2,false,50.0,635704669180,15000000000,7500000000,15000,15000
pg-index,2,false,50.0,408406350112,15000000000,7500000000,15000,7500
client-vanilla,1,false,75.0,643759207263,15000000000,11250000000,15000,15000
client-cls,1,false,75.0,613825713787,15000000000,11250000000,15000,15000
cls-basic,1,false,75.0,1021410145694,15000000000,11250000000,15000,15000
cls-basic-prealloc,1,false,75.0,976941291272,15000000000,11250000000,15000,15000
cls-staged,1,false,75.0,644095370237,15000000000,11250000000,15000,15000
cls-index,1,false,75.0,540965672931,15000000000,11250000000,15000,11250
pg-all,1,false,75.0,733436541727,15000000000,11250000000,15000,15000
pg-index,1,false,75.0,618029075506,15000000000,11250000000,15000,11250
client-vanilla,2,false,75.0,609231988708,15000000000,11250000000,15000,15000
client-cls,2,false,75.0,614392833593,15000000000,11250000000,15000,15000
cls-basic,2,false,75.0,1020918938759,15000000000,11250000000,15000,15000
cls-basic-prealloc,2,false,75.0,969543578720,15000000000,11250000000,15000,15000
cls-staged,2,false,75.0,638430530206,15000000000,11250000000,15000,15000
cls-index,2,false,75.0,543987882273,15000000000,11250000000,15000,11250
pg-all,2,false,75.0,728014800310,15000000000,11250000000,15000,15000
pg-index,2,false,75.0,616412130925,15000000000,11250000000,15000,11250
client-vanilla,1,false,100.0,645090596315,15000000000,15000000000,15000,15000
client-cls,1,false,100.0,635941373944,15000000000,15000000000,15000,15000
cls-basic,1,false,100.0,1224609133762,15000000000,15000000000,15000,15000
cls-basic-prealloc,1,false,100.0,1159900536877,15000000000,15000000000,15000,15000
cls-staged,1,false,100.0,735712543399,15000000000,15000000000,15000,15000
cls-index,1,false,100.0,734419499076,15000000000,15000000000,15000,15000
pg-all,1,false,100.0,826637515681,15000000000,15000000000,15000,15000
pg-index,1,false,100.0,836105426297,15000000000,15000000000,15000,15000
client-vanilla,2,false,100.0,609933860988,15000000000,15000000000,15000,15000
client-cls,2,false,100.0,610006580838,15000000000,15000000000,15000,15000
cls-basic,2,false,100.0,1253457385280,15000000000,15000000000,15000,15000
cls-basic-prealloc,2,false,100.0,1175472458292,15000000000,15000000000,15000,15000
cls-staged,2,false,100.0,716793031933,15000000000,15000000000,15000,15000
cls-index,2,false,100.0,733393049046,15000000000,15000000000,15000,15000
pg-all,2,false,100.0,833653096718,15000000000,15000000000,15000,15000
pg-index,2,false,100.0,836024060447,15000000000,15000000000,15000,15000
