read_ns,eval_ns
76012720,11049816
76903763,12658137
50856039,11957420
55118965,11731707
59951049,11981165
61142170,13613357
65389928,13114203
63094329,12725159
63547215,13851076
60966141,13128263
47154007,11962028
45067033,11817464
53849098,11938190
55398889,12186379
56197015,12659033
55778817,14209900
53351646,11969819
55026245,12591374
53774381,12507933
56814213,12889085
39715135,12833465
46349002,12513072
45831249,15289961
47738924,13550221
40883498,11940264
51347131,13632955
48313535,11905343
56178433,12637051
54386502,13119997
44225701,12390715
46210854,14351036
46290580,13166651
45447265,15312399
46948741,13501029
46263640,14120407
44544848,14223135
57756541,13196005
56195876,11165058
56211111,12902160
51032615,13835256
43866920,14140720
46704318,13002671
45315330,12840016
46655348,13121443
44015592,13706255
46989289,14355419
48190100,11942722
45573443,14916653
47754875,13041645
43772925,13118360
47196560,12422989
43637608,13036241
46185928,13032218
44948507,14682998
45777745,13983996
46946839,11429176
48019635,12525151
44329344,11868951
44819428,12011924
43225148,13006689
46736681,12445420
44118373,13044875
47188985,14021577
46968777,14612355
47272537,12038250
44330850,14585604
45994486,13345936
43275946,13088079
47265373,12759033
43643955,13000253
45955015,12466758
45428108,14959960
46466090,13779004
44234897,13226807
46775393,11434419
41182706,12599423
47634165,13225226
46357950,11829841
44639725,14927332
45690849,13361810
46540102,14421760
45736358,11739395
45548523,15949820
47040990,12965980
43917699,12509197
46090621,12498028
44409974,12749209
47151552,12429587
44268356,13345098
46494821,12461949
44251897,13094715
45847549,12404972
43827132,13666223
46004740,12519354
35438039,13211351
47775950,12872551
36405998,11346188
47062994,13863268
48879447,12328280
46294280,13370180
44038748,13382550
43261766,12813032
46716750,12537567
44552271,13035305
47932869,12894308
43380901,13178293
46737346,12538855
50089725,12407502
48904134,12122688
43940530,13186533
46781682,12533867
46490882,12166871
47153620,12610415
43123907,12964147
47597673,12395726
45899399,12401873
48587047,13119467
39209487,12283079
44958862,12427122
46037146,12495424
49497763,12500202
44251917,11838055
45600222,12528661
43379747,11377445
46939516,12970674
48976837,11964493
48764372,12583876
50770786,11931132
48987151,13056947
56615238,13140737
57218362,12146045
34567734,13756214
46181894,13141416
50138192,14287742
43454795,11516472
48083670,11940257
46465690,12968702
53021652,12229941
50688744,12578077
57220315,12510883
58248193,11835065
54488811,12316859
56007620,12296382
56489139,11221405
57235885,12387458
56025870,12015899
58207100,13566757
45168023,11827030
45136061,12354359
50718523,12271521
52348799,12073539
56023959,11996022
57904814,12581664
44750574,11913597
50001067,11845426
37207959,11947648
45221577,12547523
43852212,11832061
45937084,12202409
43604469,11161577
45695858,14184761
46391373,12435464
44767398,11802129
51673781,13414057
49500209,11976503
52602427,12020577
51979350,13096361
44620566,12559771
50987869,12513852
44673494,11918770
46551047,12276907
45446820,11973553
43627879,11611769
53315800,12003255
54793397,12439302
50071795,11800129
50592708,12871504
47567652,11921650
49642971,12233853
45439003,12028872
47017745,13625088
41059918,11569501
51011281,12313687
44035811,13157681
46137925,12794121
46668459,12524098
48001144,12456914
54420528,12402252
56186635,12488246
48506878,11997454
49939216,13202535
51108249,13773008
52632776,12447679
40728609,11989699
46592740,12101876
44485998,13052621
46582267,12447798
43345498,11511295
46600490,12781746
43623775,12389635
44886636,12601998
46772161,11996698
49467091,12303726
