read_ns,eval_ns
14237595,550248
14825453,1381238
15859925,1435215
16124547,2498155
15842604,2397444
21223457,2684874
21235657,2800617
13690485,515126
14802884,1349973
14039763,1178491
13544896,2189483
15294359,1438735
17705278,1970343
18029212,1694353
10601196,1306838
20336029,2175041
13066724,1709081
15247582,2407373
14953477,1575686
14889531,1312908
11838387,1178008
11640741,1182420
13138806,2008952
16947482,1536358
12468752,1258807
16003712,1446046
13234549,2513374
11709290,2103663
14113620,1117716
10961931,1209994
10763576,1108241
12330204,1202393
14755130,1223531
10338500,1076062
16297901,1457328
12607322,2175042
15971399,3979361
9994463,1006820
10611417,1079630
13320833,1098859
12935203,1437215
11731425,630122
13640172,1602911
10170946,1498084
11611915,1211169
12589130,1649753
10253298,1101225
10215645,1052242
9689609,1139561
13554595,1250915
10839339,1115428
14415034,1278586
9562586,1285420
11087976,2153711
12134923,1146309
10250454,1121992
12299787,2692383
13597230,2756800
11077999,1128929
10735393,1120534
11072161,1827616
9929926,1143366
11027560,1140645
11124635,1087354
11077315,1080669
17763403,1480884
12263231,1463277
18291053,1276993
11571129,2390307
10939059,974796
11512451,1066421
10901820,1030830
10977955,1730856
9681470,1039645
11351715,1110668
11096841,1122245
9409195,1026808
8944739,962546
9821558,997278
11347363,1104049
15813835,1528882
9600934,1015155
15032921,1461265
9794822,2178956
10677252,1660602
9860821,973124
9509360,1441100
9537621,1001448
10651531,1039147
9692642,1074944
10948306,1125762
11120684,1104221
10835610,1476035
11176417,1694572
12954223,2031586
14215979,2264544
10043083,1096976
13021549,1191555
11091110,1072728
10790511,2128314
11255274,1912939
10170389,1050125
11361941,2584370
13145923,539442
11276825,1046462
12023811,1860463
14657776,1593866
11393046,2104242
10359502,1604656
15542741,2590785
12569023,1077868
10490080,1020888
11725507,1003744
11616429,1747841
12078599,1081527
11278224,1054085
12548890,491206
10827054,1049072
12378906,1168939
12587001,1596985
10718424,1759657
9989059,1136205
13153472,2032950
10689513,1114184
11248349,1131599
10761416,1121622
11245419,1101729
12388181,2404926
11283788,862770
10245439,2217086
12963120,1500864
9909543,1096827
11507659,462196
12821493,1133000
12949277,1149983
10857010,3317145
10547950,4148815
10776750,1148444
14403336,1424185
9237948,1053665
10618801,995252
10816955,1074334
10738224,1058888
11953063,1510006
11049052,419527
13767992,1199061
9524942,1735357
10230104,1474815
10770501,1069469
11738579,1578216
10465783,412498
9607767,1135451
12812703,1230860
10955927,1144018
10893362,1630011
11339445,2803586
10841306,1468885
11284403,1100505
12505191,1138825
12235987,1130768
12484673,1218240
11544460,1763809
11757715,415229
16187208,2425274
11039404,1042682
11045374,2085473
10501109,1039333
9843975,367813
12597488,1583501
10732880,1109052
10727463,1102691
10947453,2003538
13864349,2338847
10237113,2086930
10196305,388255
13568974,1843503
13722298,1392039
10607711,1248965
10660939,2465481
10226785,384834
10596855,1215231
12699420,1715828
12947986,3023178
10411660,5577508
12457270,1127793
10616860,1118551
12590886,1995860
11395809,1140875
12420378,1461850
12314496,1127237
10060287,2442779
9649276,389916
11971591,1127178
12429037,1680842
10451007,1284710
11235018,1540988
11268036,1249274
12724410,3344864
11692161,2508574
11923291,402699
12539738,1169673
11940731,1427396
11994538,1119177
11662661,1120571
13868130,1155811
13785702,1145708
9447425,891670
11970718,2596624
10636007,1032931
10816429,1117350
13864622,1419384
14694458,3055030
12912244,1703230
10685121,2402092
9559302,1314669
10828918,1042475
12113872,1118758
10975533,1064672
14220207,1779266
10090700,2240289
13517651,2076857
13322000,1389891
9008320,1036678
11218973,1087747
12024425,1096470
13363400,1376267
12513431,1068055
13007461,1870184
10294709,1642217
10862038,1063048
11090287,1085779
10576149,1169580
12239871,1690126
9998081,1122236
12168320,1216047
10127249,2484494
10212733,1157744
9984758,1129908
12679244,1355221
11567246,1270358
10759437,1147820
11954417,2074369
15216050,1904450
13934124,2685200
11074189,1180806
10853849,1223254
10676689,1135533
10886873,1157804
12329425,1140026
15241253,1382024
9733520,1890911
14553281,1644760
11924985,1233978
10013517,1399239
11267795,4123710
11150314,1097871
13509887,1380997
10877450,1260327
13907704,1354676
10980185,1101750
14307321,1591559
10447990,1087073
10513683,1087050
10132757,1148221
9737022,1124992
12175494,1112997
10373755,1226607
9992264,1197361
11087384,1244975
11468592,1219991
9768477,2698920
11354273,1097448
11157975,1093378
10137475,1286551
11943865,1115719
9794421,2478582
11160049,1120551
11003438,1123347
10301830,1132867
9911779,1283780
11537921,1307892
10862539,1267713
11143785,2581186
10785383,2444974
10980551,1160434
9887272,1829745
11658590,1164743
11179100,1114545
10713218,2145592
11136595,1435457
15203173,2051767
10592987,1652444
12987980,2554635
12664938,589071
10924971,1065880
11087372,1152899
10495247,1174157
12620968,1130084
10930479,2589588
10266179,1117715
12753703,1173948
9945807,1030037
10508739,1093224
13485570,1979364
13006752,1213755
11299926,1110800
9809272,2567636
13099470,1072414
13749222,2119095
10579154,1094917
12022365,1145907
9862126,1141070
13171303,1714648
16050106,1356362
12726034,885770
13632216,2185443
10223940,1075676
10055579,1082998
12588471,1117563
11441659,481821
13334632,2764129
10687776,1239640
15691943,1471386
10442027,1161586
14245418,2058830
9704759,2478783
11601662,1130177
10081954,1122144
13551817,1978111
10546242,1204846
12780759,1563842
14800549,3047214
12980067,2454049
10888530,1127094
