read_ns,eval_ns
14116938,11530407
14452636,13129708
13199861,15449223
15150419,15412140
15254278,14796576
14797490,15370090
15272443,15371415
13948115,13169955
18743446,16791235
12934415,11780808
13404175,13829786
10454129,9256591
16542803,16146317
16902915,15734141
16283630,16724978
16421195,15158506
17532775,16712519
12910962,10888457
15733039,15192355
16891437,15511373
16318728,15290504
13571801,10763826
15869250,15811592
14226383,13563538
16731640,15348705
12257086,10284257
15727926,14679275
15896309,15248003
16006828,16488795
14947833,14923876
15479666,15037941
16932172,15791816
14612311,16297050
16881477,15675390
15854966,15829295
16198476,14027546
16545320,16186957
15992309,16830402
16090730,12754364
15965863,15555117
15469050,15343132
16513178,15968149
18125409,16922970
15897651,15909913
15636431,14103765
15119751,15091040
14202968,11949810
15561055,15638614
15930069,16183594
16552391,16092875
16756310,14854282
17866190,16298677
17087825,15739722
18008600,15564442
18919529,16191542
17580296,16498222
15766473,14508398
14385046,14357214
17115746,15912278
15245971,15389000
16182674,16890174
17263530,15752854
14898929,14139270
17831845,22281423
16970452,16172916
17747800,15735102
16185215,14904265
15178218,15957140
17114418,15516979
17380999,15833501
15917798,14122031
14724615,15032898
14414929,13843497
15224623,14988114
13376946,14146555
16035533,16644994
14829810,13865504
14001505,13089016
13567156,12255716
11829389,13036616
14827411,15193055
12044143,9653168
14843021,14082410
13920242,15245283
17249095,16001659
13843566,15810842
17326908,16223158
14930351,16946989
17488532,15963180
16908692,13957427
16837658,15516085
14893582,13438672
15042721,14856672
17013506,16420851
15270423,13832579
14558719,13570452
16088099,15311275
15733236,14927487
14710199,14487636
14180356,13117694
14132793,14550961
14967359,15481404
13633489,14763154
14890075,14012456
13992337,15266908
15786748,15048371
13795565,14340171
15826638,14806416
15563959,14546166
14791991,14887627
14173174,14138222
13735706,14255235
14378905,15104192
16219645,14975875
13835037,15971931
16660974,15121015
16667508,15806261
16909381,15827957
15175660,15293496
16135004,15407201
14762081,13644689
16485769,16504835
16148049,15823538
16473605,15420542
17850633,16599978
16881953,15816659
17159315,15260362
16942779,15991960
15446721,15579193
17541675,15696690
15719557,14666365
17123781,15473359
17154948,16384379
16566507,15540420
16000597,14381719
17377337,15813344
14083337,13617919
16337529,16282000
27212731,15665269
18562168,16467478
17643467,17919280
17658213,15603855
14860362,15756178
17745193,14886441
16540168,16760764
13852350,14045085
17529417,16282711
14492510,13716422
16362104,16328194
18745372,16742467
15211898,15827338
16240432,14228398
16089333,16824109
16812609,16264002
17713721,16622871
17133186,16479528
18204412,16026806
17767638,15586956
18110653,15311922
16646613,16163801
17806747,16418844
17743863,17124781
16360273,12795241
16451618,15259868
16311044,16045298
16835522,15596043
15344682,15146300
16479238,15491035
17588408,15783532
16066725,16030671
18404203,15482969
16889666,16697110
15676821,16280049
14912914,11743059
15949722,15805034
17560777,15789013
16018746,16419514
19576044,16132443
17980039,16410810
19043718,15094833
18225276,15972351
13843189,12032265
15935348,15682195
16809790,16142397
18410682,16291056
18067882,16912202
17031260,16130906
16206661,16701229
15762767,15606950
16257495,16089366
16552636,15789501
16998222,15787833
16248608,15900607
16887927,15381406
18336300,17506830
16896674,15722878
18000282,16928328
18580849,16199030
17988143,15378254
17412598,17169144
17241654,15328491
17696017,15493146
17607488,17067371
15356144,15441668
15423411,10935541
16485794,16096116
16966569,16716768
18439038,18173854
18015418,16234300
17181969,15871813
17831788,16217411
17116607,16386062
16486713,14730379
16171493,16227185
15693315,15598132
18244303,16053721
18377867,16957933
20037289,12086664
16729001,16348248
15602331,15882597
17941775,15858446
14904289,14914422
17701411,16896815
18747846,16248457
16701032,14311085
14546510,14663120
15020108,13837985
16155482,16507736
17116551,15534564
15704580,16260833
16734648,17161401
17954221,16873927
16525289,16067865
17258880,14420320
16688604,17962767
15574742,18705277
22212224,15937247
18175218,16689986
17305260,16112309
17849825,16113536
18561721,17316692
18653396,16408443
16999862,15165569
15747592,11705602
15307934,15010315
15027486,15609601
16815810,16068141
17658713,16715412
17713786,16833321
16615435,14372722
17182926,15282653
17415554,15581449
18121418,16096138
15470844,16266098
16826066,15845395
17198936,16090426
15892845,14662214
17186152,15896049
16958002,15485292
16415358,16203270
14996938,15316036
