read_ns,eval_ns
15555467,14909691
18364769,13610886
18634393,14733612
18576981,15489376
19050290,15430912
18882910,16072581
18910807,15508498
11601251,13349905
16947087,11795343
15251224,12605171
12228138,15140889
14661748,11261398
15512127,15232299
16719727,15692893
16085815,13818930
17103689,12876685
16689839,14396552
12672400,12400867
12951320,11732037
15019568,14662662
12172561,15165635
15264965,12749465
14821052,16980388
13308531,13169216
11727567,9325313
15168495,14969735
15519984,15478134
15621669,14016556
12322583,10602572
15616654,14592708
15333176,12821644
15859682,14773922
16256890,15918140
16598568,14876766
15041496,12838297
11652906,9397160
14339759,13949297
15702829,17068627
15334576,14893885
12032974,8583531
13884022,15123123
15552283,15522749
16295200,16520547
13773850,14436864
15960495,14242308
15833037,14866419
14723472,13146060
15543324,17067001
15729842,14311634
12750249,15996222
17748304,17912950
13492370,16204910
12781969,8766531
15176414,14789014
16269401,16173110
11843190,9772576
14747035,13065788
11357445,9315945
15358375,15408078
15714550,16298559
15509708,15664657
15828435,12649965
15654490,14379669
17226492,15227244
17469914,16017994
15422217,12317714
16915748,14588551
15543935,14862115
16748781,16348863
17347610,15582898
16570144,13309225
15302140,15887751
16201108,14831668
17032405,15923198
13971268,14649256
17856391,15217331
15224976,12913807
12799000,12713468
13313226,11862235
12486822,10796958
14505464,12517137
14238350,12342766
15675013,14557644
16506042,15817356
12772914,11173087
14463236,14726509
11100395,9553464
14479549,14151106
11777271,8293182
14751664,15253007
14432993,14082530
13807994,13546287
15699667,15605242
14307438,12357377
14417564,11566420
10936874,10276136
14798785,11973840
15516985,15965121
16383540,15266204
13669013,12072457
16415525,15714655
16431818,15712539
15366781,14119609
15396844,12002638
17300165,15248999
16090917,10294916
14806499,15402618
13690930,11946322
18410221,15164640
13047124,11028244
15483859,15389747
15765522,16864543
16245047,15037134
15474623,13172114
17152125,10673813
15759617,14109611
13128366,10808346
17153469,15338106
14483806,13956973
15045854,15629696
15931485,15013381
12957582,13239754
13192299,13136476
11592041,9028433
14299148,15137803
12668242,11315005
13874217,13502684
15160939,14423313
14633850,15100085
19544510,17841977
15290972,15934931
16124755,15807777
17689327,11238469
15937057,16333560
13412611,15254169
17115883,16079551
16737224,16228850
15245521,16363931
17284057,16143363
14319840,11677481
15308905,14277976
11971721,8808858
15038129,15062730
11836106,10114866
15604058,14802897
11581454,9187984
13903894,11060253
14385621,14851658
14539167,14516732
14886377,14824978
14298287,12378906
15363458,14799875
15606262,16370881
16012327,15534705
16591777,15934963
16305000,16663869
14288511,12011883
13343645,10491400
15011731,15734253
16098717,12657807
15300635,15817204
17166559,16018856
14197901,11248138
16115230,15868290
15056425,15039825
13935408,13221945
14817375,15314938
17532558,16221558
17083431,16919542
14926260,16373333
15270371,10180646
16404768,16165915
17268749,15473013
13337446,11831295
15270330,15617833
15540215,16679049
14452367,15087624
12820303,13541057
11540541,10765026
15034922,12808092
14656524,14823514
12079145,10152488
17609053,13753990
15019006,15702678
15297975,14974211
12156948,10287096
13004797,12168621
14644142,14333665
14015064,12158789
14785795,14285798
15745457,15061542
13840387,14930503
16057357,15210685
13088104,10351726
15681497,14799222
11442064,10718859
13870248,14765794
15452620,12844964
13662327,15041166
15167907,15413956
11110260,9842091
17089133,12301227
15217536,15435831
13629596,15090404
15725372,15322782
14960989,16370399
15057602,12898440
16096684,16358037
15837605,14569444
16896246,15996472
19543009,16569222
17435913,14941630
15102700,13922661
15931145,15648174
17206973,16657467
17496592,13209141
16902589,15446332
17360951,16077307
15825669,14708853
13486945,10228321
15099385,13532879
12453338,10416650
16113939,15456081
15547914,14717047
13988034,13083455
11268435,13344482
13796916,11151716
16052366,15792177
