read_ns,eval_ns
44342091,2060143
42938741,2240471
43346244,2357944
43662023,2364918
43379348,2382532
44608010,2360350
36797635,2412943
43727429,2404772
43826588,2293746
45070105,2338585
42203623,2296873
43892947,2422165
43834012,2361309
42621738,2350554
36742983,2408555
43486532,2498082
45078011,2365541
42930429,2287167
44348803,2327985
44075296,2322188
38475950,2286937
42392063,2265561
44614408,2465210
43232464,2454811
42227255,2367834
39716158,2350872
43243393,2325812
43490524,2427051
43245719,2518842
40400857,2435120
42845792,2396055
43439672,2433252
43391200,2247780
42789240,2251953
42922458,2262733
42897703,2261533
42831365,2311452
43002908,2323503
42540322,2345026
42804382,2287081
43003522,2291211
43966991,2285572
44043875,2294539
42829695,2290958
43051036,2306005
43486288,2367412
43838382,2306657
43848129,2256994
43182283,2313851
41758834,2272546
43142871,2257453
43092609,2298443
35034791,2445232
39725488,2200454
42757228,2310686
43725223,2349441
43809042,2328490
44269258,2303541
44921727,2242315
43004879,2272302
43436864,2305184
43810009,2271128
43553429,2327467
43882620,2278090
42869062,2491126
43146184,2235400
39858797,2253969
46017402,2263177
42417610,2304435
43423844,2282389
42109498,2281055
42918149,2486177
42486882,2234668
43006740,2261436
43419054,2278532
43140032,2397920
43462647,2406040
42950282,2319251
43045488,2288198
44866558,2423626
43303645,2435321
43205070,2298276
42423615,2327719
38277512,2314829
42900639,2403016
42647178,2272993
40875280,2278300
42977124,2262499
43484978,2433117
44974428,2308006
44356094,2483988
43461097,2323646
43873372,2263066
42187839,2292889
44483391,2231248
42940035,2273718
43733653,2347076
42638487,2361329
43321590,2309691
43154863,2336755
44083203,2272013
43118395,2291773
43518984,2270455
42913245,2369572
44344528,2314811
42840093,2167373
43090815,2282753
43034541,2279754
45282704,2372585
42707905,2384379
43331409,2354164
42892055,2352671
43832039,2224518
43024959,2437930
43459045,2367193
43694372,2256032
44876928,2360601
43374185,2323188
42945122,2294504
43127080,2304537
43126507,2281304
43679157,2320135
43135008,2314746
42364838,2250478
43720418,2392399
42627860,2316701
44485475,2336134
43433010,2405736
42385757,2332866
42737456,2206995
43135943,2295550
44146459,2286692
43884740,2243498
44833556,2374467
43618138,2291918
42886785,2368730
44043143,2269306
44991131,2296495
42776237,2258978
42756611,2272483
41477993,2320614
42761308,2243163
42803641,2276836
43245717,2281599
44798959,2290440
42675957,2276504
42457180,2271062
43960565,2245657
42965152,2327496
43331867,2236380
43444964,2289353
40959424,2311059
43149321,2395736
43551505,2378598
43968655,2376262
43414971,2285073
43741050,2285995
43505390,2354987
43336816,2385838
43002194,2247915
42371899,2311572
43566885,2263747
42990999,2250905
42818660,2393867
44210661,2332751
43935806,2433473
44602691,2315141
43998582,2235674
43353994,2275926
43307729,2261361
43556130,2299957
43527945,2324282
42929509,2245086
43226605,2249246
43312595,2270650
42854359,2270985
43744682,2290979
43282305,2259643
43590217,2309883
43563660,2426359
42799547,2329961
42720193,2259428
43969454,2312924
43892983,2401944
43160536,2289413
42862443,2275298
43975271,2398282
43434041,2254327
42676228,2212632
44137136,2263487
44081188,2292583
43677021,2319562
43998332,2274667
45024300,2231404
42994975,2261181
43142664,2269418
43643457,2251693
42777931,2280628
43341360,2286500
42793316,2266603
42991813,2363818
43295607,2407597
44483921,2386035
43771077,2262636
42790073,2304002
44291960,2268813
43025777,2265552
44066402,2288814
44334812,2237350
44353462,2314782
43424767,2387361
43883604,2429353
40440248,2227815
43690024,2424131
42697755,2242459
42463545,2283206
43500154,2265076
43778219,2263275
42836262,2303636
42695228,2276412
44382531,2239635
43501508,2292404
42963400,2418891
43343806,2287642
42688397,2324316
44095876,2380732
43085797,2224521
40705742,2342160
42961152,2322312
40643331,2287534
44380645,2273216
42940579,2310117
43260050,2354870
42856811,2413395
43242332,2272227
43181245,2322755
42789065,2257963
43513176,2408015
42230434,2241081
42670163,2464147
44402764,2255372
43977616,2426462
43856053,2263340
43421690,2289415
42575807,2328218
43130767,2359195
43418392,2265973
42952696,2273740
43143542,2287579
43125607,2222144
44725449,2393660
43593272,2317363
44018232,2293102
41026954,2294390
42743716,2247311
42992643,2369004
42802008,2303956
43053279,2254271
43244119,2225572
43264108,2268267
42983389,2278635
43162689,2257435
42938506,2275084
43112767,2516380
42748975,2262622
43250092,2229699
42980981,2355047
44065287,2286477
42724788,2393827
43078538,2292910
43043903,2276467
43330038,2304807
43747729,2300803
43159478,2272062
43205467,2289473
43833188,2210499
42280181,2240577
43926048,2254922
42589910,2371858
44061184,2280579
43372246,2293780
43150244,2276830
43375170,2377889
43614412,2383058
43375113,2317563
44175010,2272056
43701540,2310338
44136270,2290873
43054447,2263240
39864772,2232629
43002248,2266423
43712635,2295485
42765639,2269006
43919158,2235104
44059405,2310766
42788156,2283062
43382239,2260197
43245158,2281332
43385130,2341337
42301938,2227529
43101117,2274605
41648052,2277260
42506044,2294026
42352704,2261674
43071837,2300596
42245756,2265959
43548126,2252566
42352078,2254688
42822800,2236914
42944874,2242368
42242286,2283278
42440818,2302905
42651311,2293119
42619191,2276753
44234433,2293130
42844621,2268651
43356302,2272010
42986547,2224449
42853100,2264458
43054674,2267405
43197767,2335389
42901250,2240623
43519621,2336191
42976166,2292314
42328525,2266508
42759505,2285131
43184955,2217135
43119562,2241714
43575090,2262723
43077244,2296999
43120197,2280634
43822576,2304130
43408971,2392598
43258784,2333633
42747037,2308969
43042441,2277322
43739743,2400791
44145827,2359035
42802819,2258972
42630319,2282372
43124097,2292156
43159632,2199961
43264542,2297484
43687998,2271776
43585012,2431011
42393253,2278045
43001074,2274167
42752390,2235917
43871773,2291640
43072717,2274351
44040207,2254499
43764073,2322395
42697444,2279492
36485855,2339274
42804507,2206795
43154800,2283421
42666935,2313519
42981356,2253379
43544342,2273168
43910395,2378790
43187409,2278113
43182649,2251939
43722204,2280533
42239956,2233706
43715128,2257968
42920787,2289610
43411263,2328759
43322580,2261734
42684129,2275063
42749541,2214104
43213270,2290970
42522926,2241991
43800293,2247301
43146087,2280989
42738128,2220981
43465963,2262246
41135971,2214619
42846002,2251784
42944973,2260138
42759788,2237026
42306337,2222797
42962524,2243698
42958940,2299852
42484909,2240015
42978291,2225558
43225707,2266946
43648391,2427439
43721661,2331775
43042139,2323455
42885660,2273695
43510529,2295877
43440128,2281030
42833476,2265778
42695086,2343815
43010727,2290821
43609679,2251552
41368438,2244289
43507096,2306846
43629623,2262427
42642903,2248078
43257028,2307625
43141575,2314531
43584692,2253042
42996126,2322218
42497282,2296793
43686286,2255421
39945262,2284277
43962259,2221668
42896799,2243696
43396862,2298477
42985161,2267901
42712554,2315224
43233722,2253359
40534430,2354358
43086211,2232964
44258776,2313349
42944762,2236989
42874335,2255025
42813948,2411944
42900673,2265291
42773104,2213169
43715411,2317546
43114176,2234866
42450982,2265770
42921773,2255631
42536885,2279136
43374097,2231827
42856924,2360442
42779898,2292113
42667627,2317253
43647715,2298279
42599148,2312548
42972401,2291899
43653414,2317737
40157910,2238248
42899574,2273812
43161295,2242838
42770016,2223481
43278548,2254935
43014009,2213869
42860128,2253741
43636580,2315733
42565005,2256541
43654601,2387081
42695306,2270982
44262805,2348604
42676565,2273726
43512002,2255186
43245277,2289246
43131460,2262251
40703481,2273700
43317591,2303724
43258204,2261113
42296226,2243525
44058319,2407720
42464438,2290191
42463526,2276269
43940735,2253539
43137426,2275762
42909319,2258664
43277635,2386343
43635697,2271449
43014425,2199503
42917284,2238885
43684182,2261090
43508453,2275871
42055891,2253642
42850723,2256044
43927532,2302718
43024221,2282587
43471457,2245984
43703262,2311165
43682001,2277778
44516289,2217072
42948219,2258159
42816231,2237944
40185544,2219174
43397572,2234233
43088150,2289644
43388902,2252867
43102464,2270091
42990651,2248573
44012060,2241923
43773901,2350409
43788861,2273649
43188491,2280015
43045182,2403042
44264019,2282003
42819469,2251249
43710231,2251715
43336861,2234396
43570129,2445944
42863960,2276613
43290333,2240042
43117287,2264146
43253144,2302607
43151655,2416895
43054656,2273422
42711532,2279757
43454077,2271065
42959838,2259571
43639868,2262071
42347814,2326181
42830542,2277733
43618520,2295619
43630572,2282309
42787417,2366627
42630999,2244512
43085090,2230028
44917263,2440380
44977701,2320476
42756914,2261664
42912136,2280865
43027473,2269189
42717758,2289585
43488176,2363745
39386065,2160691
42769603,2304323
42769173,2241935
42448430,2265237
42858257,2294452
42996432,2148410
42535424,2212273
43028555,2261616
43128577,2253376
42818230,2264855
43020155,2278094
43364618,2343646
