filename,nosds,nobjs,query,run,time,pool,qdepth,wthreads,selectivity-pct,cls,cache
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0322.816165062,tpc,12,10,1,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0283.834874078,tpc,12,10,1,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0379.871890179,tpc,12,10,1,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0292.171720410,tpc,12,10,1,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0353.167086211,tpc,12,10,1,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0480.964583001,tpc,12,10,1,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0284.971787263,tpc,12,10,1,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0133.645167554,tpc,12,10,1,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0284.244769149,tpc,12,10,1,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,099.995553027,tpc,12,10,1,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0284.215789204,tpc,12,10,1,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,038.575753107,tpc,12,10,1,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0310.405626050,tpc,12,10,1,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0493.398583577,tpc,12,10,1,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0288.545556705,tpc,12,10,1,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0388.615007937,tpc,12,10,1,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0300.112317330,tpc,12,10,1,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0340.037295506,tpc,12,10,1,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0284.400700905,tpc,12,10,1,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,080.429336396,tpc,12,10,1,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0284.255753138,tpc,12,10,1,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0105.026129157,tpc,12,10,1,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0284.344292395,tpc,12,10,1,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,037.138952863,tpc,12,10,1,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0294.993416942,tpc,12,10,1,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0243.561528676,tpc,12,10,1,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0289.682406077,tpc,12,10,1,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0336.202854793,tpc,12,10,1,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0285.925581402,tpc,12,10,1,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0337.140932670,tpc,12,10,1,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0284.494064388,tpc,12,10,1,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0105.282774358,tpc,12,10,1,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0284.151306503,tpc,12,10,1,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,091.040968085,tpc,12,10,1,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0284.412057185,tpc,12,10,1,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,039.226176100,tpc,12,10,1,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0350.026947604,tpc,12,10,10,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0357.017805576,tpc,12,10,10,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0340.029382429,tpc,12,10,10,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0355.711053238,tpc,12,10,10,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0355.087965679,tpc,12,10,10,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0355.813045940,tpc,12,10,10,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0285.031675257,tpc,12,10,10,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0105.125640391,tpc,12,10,10,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0284.670276801,tpc,12,10,10,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,087.896530288,tpc,12,10,10,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0284.955571363,tpc,12,10,10,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,039.874157330,tpc,12,10,10,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0330.442606527,tpc,12,10,10,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0198.364342787,tpc,12,10,10,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0284.809099219,tpc,12,10,10,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0203.875907127,tpc,12,10,10,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0288.113565499,tpc,12,10,10,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0166.965922971,tpc,12,10,10,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0284.826852613,tpc,12,10,10,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,090.754259582,tpc,12,10,10,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0284.733498864,tpc,12,10,10,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,098.319371613,tpc,12,10,10,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0284.825183308,tpc,12,10,10,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,041.484282409,tpc,12,10,10,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0284.974563128,tpc,12,10,10,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0199.678327660,tpc,12,10,10,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0284.809193420,tpc,12,10,10,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0456.558513644,tpc,12,10,10,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0284.930836400,tpc,12,10,10,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0171.260719308,tpc,12,10,10,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0284.942439442,tpc,12,10,10,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,091.689271487,tpc,12,10,10,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0284.718340979,tpc,12,10,10,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,088.141090392,tpc,12,10,10,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0284.904363169,tpc,12,10,10,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,040.878673067,tpc,12,10,10,true,hot
